"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"GPR171"	0.145676137334816	0.306123134122204	18.2961409205861	1.98548106177813e-74	5.98761062060649e-72	154.723272493153
"HLA-DRA"	0.198817546855636	0.628280117158245	18.2720874648143	3.07335334055188e-74	9.16177228588655e-72	154.28764744163
"SERP1"	-0.206264833048749	1.10293771185781	-18.2279166464958	6.84576557308426e-74	2.01755602429478e-71	153.489146927229
"CD8B"	0.183286165152357	0.483385183866548	18.219613806363	7.95625200037972e-74	2.31848759134661e-71	153.339263554744
"CXCR6"	0.13872702923952	0.281760294130088	18.1699720779332	1.95183849317494e-73	5.62454792449913e-71	152.444525904435
"CACYBP"	-0.204820897521852	0.822877283196433	-18.1489109152025	2.85417739784587e-73	8.13440558386072e-71	152.065645258906
"HLA-DPB1"	0.195534665419019	0.75720907989628	18.0489826924989	1.72180050339633e-72	4.85379304951998e-70	150.273859271906
"ANXA2"	0.164282967590015	0.544996370000391	17.8285963313631	8.75946714673706e-71	2.44276108011426e-68	146.35649696896
"APOBEC3G"	0.17069373574481	0.56806188618115	17.5997303564094	4.9314759161944e-69	1.36061519028193e-66	142.33843375444
"SQSTM1"	-0.192516159883156	0.864110102361373	-17.3165750461988	6.73220371309635e-67	1.8378916136753e-64	137.437834956693
"AC092580.4"	0.0984713624758319	0.168722763951361	17.2845623621245	1.16795716112925e-66	3.15530926811323e-64	136.888703140296
"ATP5E"	0.19255649988026	1.98305909751226	17.0875809930356	3.38994465098337e-65	9.06373345600553e-63	133.531754952544
"NBEAL1"	-0.170847743807911	0.617749715392409	-17.0636802920704	5.08818806265853e-65	1.34605774277202e-62	133.127013964938
"SIT1"	0.125078155652477	0.317052184736378	17.0631040243759	5.13821926101523e-65	1.34605774277202e-62	133.117262168806
