Mixture	Basal cells	Epithelial	Endothelial	Fibroblasts	Pericytes	Monocyte	Macrophage	T cells	B cells	pDC	P-value	Correlation	RMSE
BA00452	0	0.581892315175593	0.0160527836058093	0.200306262329845	0.0681701186383674	0	0.037810326929081	0.0435115061010416	0	0.0522566872202618	0	0.494062795830933	0.986407551023356
BA00453	0	0.49563927150292	0.00474544033014519	0.227723692879594	0.100574160236365	0	0.0790331889370959	0.0457307337010401	0	0.0465535124128394	0	0.485523557192945	0.991367890686522
BA00454	0.000525531265340633	0.318331095260604	0.0456847655711526	0.046292463356404	0.0191082712905262	0.0643865716278005	0.0558623381163498	0.279779646466132	0.0855481018475889	0.0844812151981013	0	0.46275181680793	0.998484522217394
BA00455	0	0.252054988201026	0.0137094690855555	0.231512990191164	0.0618817465526692	0.0379312523035732	0.190566436453164	0.142656155627958	0.0122335517152235	0.0574534098696667	0	0.549632725845135	0.920058790147023
BA00456	0.0292771850727248	0.408417798653107	0.0174245017152847	0.222461304250067	0.0326258057990258	0	0.115357878841186	0.0998439126311159	0.0203563415542441	0.054235271483245	0	0.416351461450336	1.04979661442548
BA00457	0	0.678647898143902	0	0.0755853570144344	0.0756024118918898	0	0.094030285209513	0.0277358781324245	0	0.0483981696078358	0	0.462557679075543	1.02117185264069
BA00458	0	0.725583005117654	0.0186927155309985	0.0421030083066894	0.0528309630619122	0	0.0586267390308285	0.0600818677224321	0	0.0420817012294851	0	0.332204793529867	1.14005485658086
BA00459	0	0.38470261547525	0.022449496900102	0.191027933936247	0.0156374177232986	0	0.182393459653106	0.135661587635866	0.0225187986539058	0.0456086900222247	0	0.510619111629505	0.959759006477551
BA00460	0	0.375237206600932	0.029998492900272	0.287865139139325	0.0696552881690842	0.00659525486853063	0.0650779563229153	0.117125351741782	0.00463090048082919	0.0438144097763291	0	0.591070547360708	0.87950254676526
BA00511	0	0.439918146549064	0.0348000924546975	0.256050214842721	0.0492851981598535	0	0.116371920209074	0.0686944164369584	0	0.0348800113476318	0	0.605011157941897	0.867164336191405
BA00512	0	0.241314035539416	0.0121732985660612	0.107761773023318	0.0151546551343782	0	0.190693384856242	0.207405738223867	0.149409988075507	0.0760871265812108	0	0.599372216775138	0.857089367686771
BA00513	0.0517845596416157	0.327936706388867	0.0341947491607813	0.169658298679419	0.0644005197369634	0.116582151666419	0.0555664688685712	0.112998596430537	0.0220932708091138	0.0447846786177139	0	0.541554307038698	0.929780555873923
BA00514	0	0.313535736347273	0.0328952184928206	0.157213039970026	0.0489686495514186	0	0.213306529081662	0.144256438088601	0.0389241696251014	0.0509002188430984	0	0.505073491719568	0.962462768253492
BA00515	0.0360323948356641	0.292526604341305	0.024788280501534	0.0782991939384013	0.0777998666527864	0.0215370997146614	0.0467673292772238	0.211939240401005	0.124022622177564	0.0862873681598552	0	0.296365002282505	1.13659828706082
BA00516	0.0281883281147168	0.273142923706655	0.0278717969718002	0.112770306130247	0	0.0319948493211678	0.0632552519813182	0.285370345373412	0.06644456270968	0.110961635691003	0	0.449114790749725	1.01193464150908
BA00517	0	0.548655885863898	0	0.0700629471407524	0.0860307538923684	0	0.0438037105186978	0.0833091330297223	0.113972443094316	0.054165126460245	0	0.41593441377948	1.04468191484137
BA00518	0.0606366959915469	0.189257239078431	0.0568529769486923	0.327987077597769	0.1474217636187	0	0.14989462179448	0.0408494510948212	0	0.0271001738755593	0	0.521497765726415	0.953573825975733
BA00519	0	0.368166633099181	0.0386341678358132	0.312104973100763	0.0678880273239091	0	0.0939428269286372	0.0507026809608585	0.0341963797546734	0.0343643109961646	0	0.550069668405643	0.921121130113588
BA00520	0.0148912252274128	0.211011589947917	0.0343926236687889	0.144966240164002	0.0507461463069172	0.00727028037490012	0.0826160416604438	0.206822931152674	0.17454528588062	0.0727376356163239	0	0.537740637723763	0.916471515035468
